"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"30853","NaN","NaN","NaN","$0.51","$1.27","$2.67","$4.78"
"32280","NaN","NaN","NaN","$0.51","$1.27","$3.19","$4.78"
"32283","NaN","NaN","NaN","$0.51","$1.27","$3.19","$4.78"
"32284","NaN","NaN","NaN","$0.51","$1.27","$3.19","$4.78"
"33910","NaN","NaN","NaN","$0.51","$1.27","$3.19","$5.26"
"33911","NaN","NaN","NaN","$0.51","$1.27","$3.19","$5.26"
"35336","NaN","NaN","NaN","$0.51","$1.27","$3.19","$5.26"
"35336","NaN","NaN","NaN","$0.51","$1.27","$3.36","$5.26"
"35337","NaN","NaN","NaN","$0.51","$1.27","$3.36","$5.26"
"35340","NaN","NaN","NaN","$0.51","$1.36","$3.36","$5.26"
"36982","NaN","NaN","NaN","$0.51","$1.36","$3.36","$7.60"
"36992","NaN","NaN","NaN","$0.51","$1.36","$3.36","$7.60"
"36992","NaN","NaN","NaN","$0.51","$1.36","$3.36","$7.60"
"36983","NaN","NaN","NaN","$0.51","$1.36","$3.36","$7.60"
"37637","NaN","NaN","NaN","$0.51","$1.49","$3.36","$7.60"
"37642","NaN","NaN","NaN","$0.51","$1.49","$3.36","$7.60"
"38396","NaN","NaN","NaN","$0.51","$1.49","$4.37","$7.60"
"38398","NaN","NaN","NaN","$0.51","$1.49","$4.37","$7.60"
"39938","NaN","NaN","NaN","$0.51","$1.75","$4.37","$7.44"
"39939","NaN","NaN","NaN","$0.51","$1.75","$4.37","$7.44"
"40054","NaN","NaN","NaN","$0.51","$1.75","$4.37","$7.44"
"40054","NaN","NaN","NaN","$0.51","$1.75","$4.37","$7.44"
"41458","NaN","NaN","NaN","$0.51","$1.75","$4.43","$7.44"
"41457","NaN","NaN","NaN","$0.51","$1.75","$4.43","$7.44"
"42232","NaN","NaN","NaN","$0.51","$2.49","$4.43","$7.44"
"42233","NaN","NaN","NaN","$0.51","$2.49","$4.43","$7.44"
"43110","NaN","NaN","NaN","$0.51","$2.49","$4.43","$8.41"
"43110","NaN","NaN","NaN","$0.51","$2.49","$4.43","$8.41"
