"60411","end","Smelters","PIG_IRON"
"60414","begin","Smelters","PIG_IRON"
"61422","end","Iron Mine","IRON"
"61422","begin","Iron Mine","IRON"
"61943","end","Smelters","PIG_IRON"
"61948","begin","Smelters","PIG_IRON"
"62936","end","Steel Mill","STEEL"
"62941","begin","Steel Mill","STEEL"
"63176","end","Smelters","PIG_IRON"
"63180","begin","Smelters","PIG_IRON"
"63964","end","Equipment Manufactory","TOOLS"
"63964","begin","Equipment Manufactory","TOOLS"
"64402","end","Smelters","PIG_IRON"
"64403","begin","Smelters","PIG_IRON"
"64483","end","Iron Mine","IRON"
"64483","begin","Iron Mine","IRON"
"65243","end","Steel Mill","STEEL"
"65247","begin","Steel Mill","STEEL"
"65625","begin","Smelters","PIG_IRON"
"65625","end","Smelters","PIG_IRON"
"66855","end","Smelters","PIG_IRON"
"66861","begin","Smelters","PIG_IRON"
"67023","end","Equipment Manufactory","TOOLS"
"67023","begin","Equipment Manufactory","TOOLS"
"67093","end","Steel Mill","STEEL"
"67094","begin","Steel Mill","STEEL"
"67549","end","Iron Mine","IRON"
"67553","begin","Iron Mine","IRON"
"68393","end","Smelters","PIG_IRON"
"68394","begin","Smelters","PIG_IRON"
"68941","begin","Steel Mill","STEEL"
"68938","end","Steel Mill","STEEL"
"69464","end","Equipment Manufactory","TOOLS"
"69466","begin","Equipment Manufactory","TOOLS"
"70432","end","Smelters","PIG_IRON"
"70435","begin","Smelters","PIG_IRON"
"70613","end","Iron Mine","IRON"
"70614","begin","Iron Mine","IRON"
"70772","end","Steel Mill","STEEL"
"70772","begin","Steel Mill","STEEL"
"71497","end","Equipment Manufactory","TOOLS"
"71501","begin","Equipment Manufactory","TOOLS"
"72606","end","Steel Mill","STEEL"
"72607","begin","Steel Mill","STEEL"
"73256","end","Equipment Manufactory","TOOLS"
"73260","begin","Equipment Manufactory","TOOLS"
"73492","end","Smelters","PIG_IRON"
"73492","begin","Smelters","PIG_IRON"
"73665","end","Iron Mine","IRON"
"73675","begin","Iron Mine","IRON"
"74450","end","Steel Mill","STEEL"
"74451","begin","Steel Mill","STEEL"
"74797","begin","Equipment Manufactory","TOOLS"
"74796","end","Equipment Manufactory","TOOLS"
"76156","end","Equipment Manufactory","TOOLS"
"76157","begin","Equipment Manufactory","TOOLS"
"76281","end","Steel Mill","STEEL"
"76289","begin","Steel Mill","STEEL"
"76549","begin","Smelters","PIG_IRON"
"76547","end","Smelters","PIG_IRON"
"76729","end","Iron Mine","IRON"
"76729","begin","Iron Mine","IRON"
"77525","end","Equipment Manufactory","TOOLS"
"77526","begin","Equipment Manufactory","TOOLS"
"78121","end","Steel Mill","STEEL"
"78122","begin","Steel Mill","STEEL"
"78891","end","Equipment Manufactory","TOOLS"
"78892","begin","Equipment Manufactory","TOOLS"
"79589","end","Smelters","PIG_IRON"
"79590","begin","Smelters","PIG_IRON"
"79773","end","Iron Mine","IRON"
"79774","begin","Iron Mine","IRON"
"79957","end","Steel Mill","STEEL"
"79957","begin","Steel Mill","STEEL"
"80254","end","Equipment Manufactory","TOOLS"
"80254","begin","Equipment Manufactory","TOOLS"
"81626","end","Equipment Manufactory","TOOLS"
"81806","end","Steel Mill","STEEL"
"81806","begin","Equipment Manufactory","TOOLS"
"81806","begin","Steel Mill","STEEL"
"82645","end","Smelters","PIG_IRON"
"82645","begin","Smelters","PIG_IRON"
"82836","end","Iron Mine","IRON"
"82837","begin","Iron Mine","IRON"
"83166","end","Equipment Manufactory","TOOLS"
"83638","end","Steel Mill","STEEL"
"83639","begin","Equipment Manufactory","TOOLS"
"83641","begin","Steel Mill","STEEL"
"84998","end","Equipment Manufactory","TOOLS"
"85163","end","Steel Mill","STEEL"
"85164","begin","Equipment Manufactory","TOOLS"
"85687","end","Smelters","PIG_IRON"
"85688","begin","Smelters","PIG_IRON"
"85688","begin","Steel Mill","STEEL"
"85886","end","Iron Mine","IRON"
"85887","begin","Iron Mine","IRON"
"86532","end","Equipment Manufactory","TOOLS"
"87525","end","Steel Mill","STEEL"
"87525","begin","Equipment Manufactory","TOOLS"
"88744","end","Smelters","PIG_IRON"
"88745","begin","Smelters","PIG_IRON"
"88745","begin","Steel Mill","STEEL"
"88938","end","Iron Mine","IRON"
"88950","begin","Iron Mine","IRON"
"89062","end","Equipment Manufactory","TOOLS"
"91031","end","Steel Mill","STEEL"
"91031","begin","Equipment Manufactory","TOOLS"
"91801","end","Smelters","PIG_IRON"
"91806","begin","Smelters","PIG_IRON"
"91802","begin","Steel Mill","STEEL"
"92001","end","Iron Mine","IRON"
"92011","begin","Iron Mine","IRON"
"92781","end","Equipment Manufactory","TOOLS"
"93838","end","Smelters","PIG_IRON"
"93843","begin","Smelters","PIG_IRON"
"94097","end","Steel Mill","STEEL"
"94102","begin","Steel Mill","STEEL"
"94098","begin","Equipment Manufactory","TOOLS"
"95055","end","Iron Mine","IRON"
"95059","begin","Iron Mine","IRON"
"95370","end","Smelters","PIG_IRON"
"95371","begin","Smelters","PIG_IRON"
"95934","end","Steel Mill","STEEL"
"95934","begin","Steel Mill","STEEL"
"96152","end","Equipment Manufactory","TOOLS"
"96152","begin","Equipment Manufactory","TOOLS"
"96903","end","Smelters","PIG_IRON"
"96904","begin","Smelters","PIG_IRON"
"97475","end","Steel Mill","STEEL"
"97477","begin","Steel Mill","STEEL"
"98125","end","Iron Mine","IRON"
"98126","begin","Iron Mine","IRON"
"98189","end","Equipment Manufactory","TOOLS"
"98190","begin","Equipment Manufactory","TOOLS"
"98443","end","Smelters","PIG_IRON"
"98444","begin","Smelters","PIG_IRON"
"98782","end","Steel Mill","STEEL"
"98782","begin","Steel Mill","STEEL"
"99964","end","Smelters","PIG_IRON"
"99964","begin","Smelters","PIG_IRON"
"100094","end","Steel Mill","STEEL"
"100094","begin","Steel Mill","STEEL"
"100232","end","Equipment Manufactory","TOOLS"
"100233","begin","Equipment Manufactory","TOOLS"
"101181","end","Iron Mine","IRON"
"101182","begin","Iron Mine","IRON"
"101414","end","Steel Mill","STEEL"
"101504","end","Smelters","PIG_IRON"
"101505","begin","Steel Mill","STEEL"
"101505","begin","Smelters","PIG_IRON"
"101984","end","Equipment Manufactory","TOOLS"
"101985","begin","Equipment Manufactory","TOOLS"
"102823","end","Steel Mill","STEEL"
"103036","end","Smelters","PIG_IRON"
"103036","begin","Steel Mill","STEEL"
"103511","end","Equipment Manufactory","TOOLS"
"103515","begin","Equipment Manufactory","TOOLS"
"104230","end","Iron Mine","IRON"
"104230","begin","Smelters","PIG_IRON"
"104230","begin","Iron Mine","IRON"
"104347","end","Steel Mill","STEEL"
"104881","end","Equipment Manufactory","TOOLS"
"104884","begin","Equipment Manufactory","TOOLS"
"106109","end","Equipment Manufactory","TOOLS"
"106109","begin","Equipment Manufactory","TOOLS"
"106257","end","Smelters","PIG_IRON"
"106258","begin","Steel Mill","STEEL"
"107269","end","Iron Mine","IRON"
"107273","begin","Iron Mine","IRON"
"107269","begin","Smelters","PIG_IRON"
"107342","end","Equipment Manufactory","TOOLS"
"107790","end","Steel Mill","STEEL"
"107790","begin","Equipment Manufactory","TOOLS"
"108815","end","Iron Mine","IRON"
"108818","begin","Iron Mine","IRON"
"109019","end","Equipment Manufactory","TOOLS"
"109837","end","Iron Mine","IRON"
"109840","begin","Iron Mine","IRON"
"110340","end","Smelters","PIG_IRON"
"110341","begin","Steel Mill","STEEL"
"110341","begin","Smelters","PIG_IRON"
"110606","end","Iron Mine","IRON"
"110606","begin","Iron Mine","IRON"
"111366","end","Iron Mine","IRON"
"111366","begin","Iron Mine","IRON"
"111865","end","Steel Mill","STEEL"
"111865","begin","Equipment Manufactory","TOOLS"
"112135","end","Iron Mine","IRON"
"112136","begin","Iron Mine","IRON"
"112371","end","Smelters","PIG_IRON"
"112373","begin","Smelters","PIG_IRON"
"112372","begin","Steel Mill","STEEL"
"113162","end","Iron Mine","IRON"
"113162","begin","Iron Mine","IRON"
"113229","end","Equipment Manufactory","TOOLS"
"113897","end","Smelters","PIG_IRON"
"113899","begin","Smelters","PIG_IRON"
"114200","end","Steel Mill","STEEL"
"114202","begin","Steel Mill","STEEL"
"114201","begin","Equipment Manufactory","TOOLS"
"114686","end","Iron Mine","IRON"
"114687","begin","Iron Mine","IRON"
"115117","end","Smelters","PIG_IRON"
"115118","begin","Smelters","PIG_IRON"
"115733","end","Steel Mill","STEEL"
"115737","begin","Steel Mill","STEEL"
"115741","end","Equipment Manufactory","TOOLS"
"115746","begin","Equipment Manufactory","TOOLS"
"116343","end","Smelters","PIG_IRON"
"116344","begin","Smelters","PIG_IRON"
"117044","end","Steel Mill","STEEL"
"117045","begin","Steel Mill","STEEL"
"117104","end","Equipment Manufactory","TOOLS"
"117106","begin","Equipment Manufactory","TOOLS"
"117572","begin","Smelters","PIG_IRON"
"117571","end","Smelters","PIG_IRON"
"117743","end","Iron Mine","IRON"
"117744","begin","Iron Mine","IRON"
"118337","end","Equipment Manufactory","TOOLS"
"118357","end","Steel Mill","STEEL"
"118357","begin","Steel Mill","STEEL"
"118358","begin","Equipment Manufactory","TOOLS"
"118793","end","Smelters","PIG_IRON"
"118794","begin","Smelters","PIG_IRON"
"119477","end","Equipment Manufactory","TOOLS"
