"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"29241","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"29241","NaN","NaN","NaN","$0.49","$1.27","$3.59","$7.11"
"30273","NaN","NaN","NaN","$0.49","$1.36","$3.59","$7.11"
"30276","NaN","NaN","NaN","$0.49","$1.36","$3.59","$7.11"
"30721","NaN","NaN","NaN","$0.50","$1.36","$3.59","$7.11"
"30721","NaN","NaN","NaN","$0.50","$1.36","$3.59","$7.11"
"32118","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.11"
"32119","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.11"
"32270","NaN","NaN","NaN","$0.50","$1.89","$3.59","$7.43"
"32275","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"32301","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"32301","NaN","NaN","NaN","$0.50","$1.89","$4.08","$7.43"
"33783","NaN","NaN","NaN","$0.55","$1.89","$4.08","$7.43"
"33784","NaN","NaN","NaN","$0.55","$1.89","$4.08","$7.43"
"33955","NaN","NaN","NaN","$0.55","$2.34","$4.08","$7.43"
"33956","NaN","NaN","NaN","$0.55","$2.34","$4.08","$7.43"
"34721","NaN","NaN","NaN","$0.55","$2.34","$4.18","$7.43"
"34722","NaN","NaN","NaN","$0.55","$2.34","$4.18","$7.43"
"35373","NaN","NaN","NaN","$0.55","$2.34","$4.18","$8.10"
"35373","NaN","NaN","NaN","$0.55","$2.34","$4.18","$8.10"
"35829","NaN","NaN","NaN","$0.55","$2.44","$4.18","$8.10"
"35829","NaN","NaN","NaN","$0.55","$2.44","$4.18","$8.10"
"36851","NaN","NaN","NaN","$0.76","$2.44","$4.18","$8.10"
"36851","NaN","NaN","NaN","$0.76","$2.44","$4.18","$8.10"
"37183","NaN","NaN","NaN","$0.76","$2.44","$4.85","$8.57"
"37184","NaN","NaN","NaN","$0.76","$2.44","$4.85","$8.57"
"37660","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"37658","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"38416","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"38417","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"39214","NaN","NaN","NaN","$0.76","$2.66","$4.85","$8.57"
"39219","NaN","NaN","NaN","$0.76","$2.66","$5.64","$8.57"
"39487","NaN","NaN","NaN","$0.76","$2.66","$5.64","$8.57"
"39904","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"39905","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"39905","NaN","NaN","NaN","$0.92","$2.99","$5.64","$8.57"
"40969","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"40970","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41476","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41477","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"41732","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"42497","NaN","NaN","NaN","$0.92","$2.99","$5.86","$9.48"
"42505","NaN","NaN","NaN","$0.92","$2.99","$6.09","$9.48"
"42948","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"42949","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"42949","NaN","NaN","NaN","$0.96","$3.39","$6.09","$9.48"
"43861","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"43862","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"44528","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"44529","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"45218","NaN","NaN","NaN","$0.96","$3.39","$7.61","$11.02"
"45238","NaN","NaN","NaN","$0.96","$3.39","$10.05","$11.02"
"45239","NaN","NaN","NaN","$0.96","$3.39","$10.05","$11.02"
"46005","NaN","NaN","NaN","$0.96","$3.83","$10.05","$11.02"
"46011","NaN","NaN","NaN","$1.04","$3.83","$10.05","$11.02"
"46005","NaN","NaN","NaN","$1.04","$3.83","$10.05","$11.02"
"46607","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"47594","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"47594","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"48039","NaN","NaN","NaN","$1.04","$3.83","$10.05","$12.04"
"48043","NaN","NaN","NaN","$1.10","$3.83","$10.05","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49061","NaN","NaN","NaN","$1.10","$4.17","$9.83","$12.04"
"49574","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"49574","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50585","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50635","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"50636","NaN","NaN","NaN","$1.22","$4.17","$9.83","$16.87"
"51103","NaN","NaN","NaN","$1.41","$4.17","$9.83","$16.87"
"51103","NaN","NaN","NaN","$1.41","$4.17","$9.83","$16.87"
"52106","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
"52106","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
"52108","NaN","NaN","NaN","$1.41","$5.49","$10.85","$16.87"
"52629","NaN","NaN","NaN","$1.55","$5.49","$10.85","$32.86"
"52630","NaN","NaN","NaN","$1.55","$5.49","$10.85","$32.86"
"53693","NaN","NaN","NaN","$1.55","$5.49","$10.85","$32.86"
"53702","NaN","NaN","NaN","$1.55","$5.49","$10.85","$32.86"
"53855","NaN","NaN","NaN","$1.55","$5.49","$10.85","$42.97"
"54167","NaN","NaN","NaN","$2.15","$5.49","$10.85","$42.97"
"54167","NaN","NaN","NaN","$2.15","$5.49","$10.85","$42.97"
"54399","NaN","NaN","NaN","$2.15","$5.49","$22.30","$42.97"
"54403","NaN","NaN","NaN","$2.15","$5.61","$22.30","$42.97"
"54400","NaN","NaN","NaN","$2.15","$5.61","$22.30","$42.97"
"55698","NaN","NaN","NaN","$4.22","$5.61","$22.30","$42.97"
"55703","NaN","NaN","NaN","$4.22","$5.61","$22.30","$42.97"
"56252","NaN","NaN","NaN","$4.22","$5.61","$22.30","$42.97"
"56257","NaN","NaN","NaN","$4.22","$9.91","$22.30","$42.97"
"56464","NaN","NaN","NaN","$4.22","$9.91","$22.30","$42.97"
"56467","NaN","NaN","NaN","$4.22","$9.91","$22.58","$42.97"
"56765","NaN","NaN","NaN","$4.22","$9.91","$22.58","$42.97"
"56765","NaN","NaN","NaN","$4.22","$9.91","$22.58","$42.97"
"57238","NaN","NaN","NaN","$5.53","$9.91","$22.58","$51.67"
"57238","NaN","NaN","NaN","$5.53","$9.91","$22.58","$51.67"
"57788","NaN","NaN","NaN","$5.53","$12.72","$22.58","$51.67"
"57789","NaN","NaN","NaN","$5.53","$12.72","$22.58","$51.67"
"58213","NaN","NaN","NaN","$5.53","$12.72","$30.34","$51.67"
"58218","NaN","NaN","NaN","$5.53","$12.72","$30.34","$51.67"
"58776","NaN","NaN","NaN","$5.53","$12.72","$30.34","$51.67"
"59308","NaN","NaN","NaN","$5.53","$13.32","$30.34","$51.67"
"59309","NaN","NaN","NaN","$5.53","$13.32","$30.34","$51.67"
"59811","NaN","NaN","NaN","$6.61","$13.32","$30.34","$51.67"
"59812","NaN","NaN","NaN","$6.61","$13.32","$30.34","$51.67"
"59812","NaN","NaN","NaN","$6.61","$13.32","$30.34","$51.67"
"59966","NaN","NaN","NaN","$6.61","$13.32","$33.14","$57.67"
"59966","NaN","NaN","NaN","$6.61","$13.32","$33.14","$57.67"
"60838","NaN","NaN","NaN","$6.61","$17.75","$33.14","$57.67"
"60838","NaN","NaN","NaN","$6.61","$17.75","$33.14","$57.67"
"61719","NaN","NaN","NaN","$6.61","$17.75","$36.22","$57.67"
"61719","NaN","NaN","NaN","$6.61","$17.75","$36.22","$57.67"
"61850","NaN","NaN","NaN","$6.61","$17.75","$36.22","$57.67"
"62361","NaN","NaN","NaN","$6.61","$19.16","$36.22","$57.67"
"62361","NaN","NaN","NaN","$6.61","$19.16","$36.22","$57.67"
"62859","NaN","NaN","NaN","$7.38","$19.16","$36.22","$57.67"
"62866","NaN","NaN","NaN","$7.38","$19.16","$36.22","$57.67"
"62862","NaN","NaN","NaN","$7.38","$19.16","$36.22","$57.67"
"63482","NaN","NaN","NaN","$7.38","$19.16","$40.78","$71.37"
"63477","NaN","NaN","NaN","$7.38","$19.16","$40.78","$71.37"
"63898","NaN","NaN","NaN","$7.38","$29.27","$40.78","$71.37"
"63899","NaN","NaN","NaN","$7.38","$29.27","$40.78","$71.37"
"64391","NaN","NaN","NaN","$7.38","$29.27","$40.78","$71.37"
"64392","NaN","NaN","NaN","$7.38","$29.27","$40.78","$71.37"
"65226","NaN","NaN","NaN","$7.38","$29.27","$40.78","$71.37"
"65231","NaN","NaN","NaN","$7.38","$29.27","$47.76","$71.37"
"65409","NaN","NaN","NaN","$7.38","$29.27","$47.76","$71.37"
"65410","NaN","NaN","NaN","$7.38","$29.27","$47.76","$71.37"
"65423","NaN","NaN","NaN","$7.38","$29.27","$47.76","$71.37"
"65924","NaN","NaN","NaN","$9.14","$32.17","$47.76","$71.37"
"65925","NaN","NaN","NaN","$9.14","$32.17","$47.76","$71.37"
"65926","NaN","NaN","NaN","$9.14","$32.17","$47.76","$71.37"
"66176","NaN","NaN","NaN","$9.14","$32.17","$47.76","$71.37"
"66178","NaN","NaN","NaN","$9.14","$32.17","$47.76","$71.37"
"66762","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"66763","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"66946","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"66945","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"67711","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"67711","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"67763","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"68288","NaN","NaN","NaN","$9.14","$32.17","$58.14","$91.00"
"68292","NaN","NaN","NaN","$9.14","$32.17","$78.50","$91.00"
"68730","NaN","NaN","NaN","$9.14","$32.17","$78.50","$91.00"
"68730","NaN","NaN","NaN","$9.14","$32.17","$78.50","$91.00"
"68991","NaN","NaN","NaN","$9.15","$33.04","$78.50","$91.00"
"68992","NaN","NaN","NaN","$9.15","$33.04","$78.50","$91.00"
"68992","NaN","NaN","NaN","$9.15","$33.04","$78.50","$91.00"
"69651","NaN","NaN","NaN","$9.15","$33.04","$78.50","$91.00"
"70266","NaN","NaN","NaN","$9.15","$33.04","$78.50","$129.17"
"70266","NaN","NaN","NaN","$9.15","$33.04","$78.50","$129.17"
"71281","NaN","NaN","NaN","$9.15","$33.04","$111.02","$129.17"
"71282","NaN","NaN","NaN","$9.15","$33.04","$111.02","$129.17"
"72039","NaN","NaN","NaN","$9.15","$42.66","$111.02","$129.17"
"72044","NaN","NaN","NaN","$9.18","$42.66","$111.02","$129.17"
"72040","NaN","NaN","NaN","$9.18","$42.66","$111.02","$129.17"
"72645","NaN","NaN","NaN","$9.18","$42.66","$111.02","$129.17"
"73305","NaN","NaN","NaN","$9.18","$42.66","$111.02","$262.75"
"73305","NaN","NaN","NaN","$9.18","$42.66","$111.02","$262.75"
"74075","NaN","NaN","NaN","$9.18","$42.66","$111.02","$262.75"
"74080","NaN","NaN","NaN","$11.68","$42.66","$111.02","$262.75"
"75087","NaN","NaN","NaN","$11.68","$42.66","$170.77","$262.75"
"75103","NaN","NaN","NaN","$11.68","$76.92","$170.77","$262.75"
"75088","NaN","NaN","NaN","$11.68","$76.92","$170.77","$262.75"
"75602","NaN","NaN","NaN","$11.69","$76.92","$170.77","$262.75"
"75603","NaN","NaN","NaN","$11.69","$76.92","$170.77","$262.75"
"76351","NaN","NaN","NaN","$11.69","$76.92","$170.77","$262.75"
"76351","NaN","NaN","NaN","$11.69","$76.92","$170.77","$262.75"
"76629","NaN","NaN","NaN","$11.69","$76.92","$170.77","$530.94"
"77124","NaN","NaN","NaN","$11.74","$76.92","$170.77","$530.94"
"77125","NaN","NaN","NaN","$11.74","$76.92","$170.77","$530.94"
"77399","NaN","NaN","NaN","$11.74","$79.45","$285.56","$530.94"
"77403","NaN","NaN","NaN","$11.74","$79.45","$285.56","$530.94"
"77404","NaN","NaN","NaN","$11.74","$79.45","$285.56","$530.94"
"78650","NaN","NaN","NaN","$16.66","$79.45","$285.56","$530.94"
"78650","NaN","NaN","NaN","$16.66","$79.45","$285.56","$530.94"
"79155","NaN","NaN","NaN","$16.66","$79.45","$285.56","$693.99"
"79239","NaN","NaN","NaN","$16.66","$79.45","$350.71","$693.99"
"79243","NaN","NaN","NaN","$16.66","$148.04","$350.71","$693.99"
"79239","NaN","NaN","NaN","$16.66","$148.04","$350.71","$693.99"
"79397","NaN","NaN","NaN","$16.66","$148.04","$350.71","$693.99"
"79397","NaN","NaN","NaN","$16.66","$148.04","$350.71","$693.99"
"80180","NaN","NaN","NaN","$33.54","$148.04","$350.71","$693.99"
"80180","NaN","NaN","NaN","$33.54","$148.04","$350.71","$693.99"
"80774","NaN","NaN","NaN","$33.54","$148.36","$350.71","$693.99"
"80774","NaN","NaN","NaN","$33.54","$148.36","$350.71","$693.99"
"80780","NaN","NaN","NaN","$33.54","$148.36","$350.71","$693.99"
"80783","NaN","NaN","NaN","$33.54","$148.36","$423.36","$693.99"
"81725","NaN","NaN","NaN","$33.61","$148.36","$423.36","$693.99"
"81725","NaN","NaN","NaN","$33.61","$148.36","$423.36","$693.99"
"82173","NaN","NaN","NaN","$33.61","$148.36","$423.36","$836.61"
"82315","NaN","NaN","NaN","$33.61","$195.87","$480.66","$836.61"
"82316","NaN","NaN","NaN","$33.61","$195.87","$480.66","$836.61"
"82316","NaN","NaN","NaN","$33.61","$195.87","$480.66","$836.61"
"82463","NaN","NaN","NaN","$33.61","$195.87","$480.66","$836.61"
"82464","NaN","NaN","NaN","$33.61","$195.87","$480.66","$836.61"
"83259","NaN","NaN","NaN","$88.78","$195.87","$480.66","$836.61"
"83260","NaN","NaN","NaN","$88.78","$195.87","$480.66","$836.61"
"83545","NaN","NaN","NaN","$88.78","$195.87","$480.66","$836.61"
"83848","NaN","NaN","NaN","$88.78","$215.34","$528.65","$836.61"
"83848","NaN","NaN","NaN","$88.78","$215.34","$528.65","$836.61"
"83849","NaN","NaN","NaN","$88.78","$215.34","$528.65","$836.61"
"84800","NaN","NaN","NaN","$107.73","$215.34","$528.65","$836.61"
"84800","NaN","NaN","NaN","$107.73","$215.34","$528.65","$836.61"
"85077","NaN","NaN","NaN","$107.73","$215.34","$528.65","$836.61"
"85380","NaN","NaN","NaN","$107.73","$250.90","$648.10","$1093.04"
"85381","NaN","NaN","NaN","$107.73","$250.90","$648.10","$1093.04"
"85381","NaN","NaN","NaN","$107.73","$250.90","$648.10","$1093.04"
"85533","NaN","NaN","NaN","$107.73","$250.90","$648.10","$1093.04"
"85533","NaN","NaN","NaN","$107.73","$250.90","$648.10","$1093.04"
"86322","NaN","NaN","NaN","$140.89","$250.90","$648.10","$1093.04"
"86323","NaN","NaN","NaN","$140.89","$250.90","$648.10","$1093.04"
"86605","NaN","NaN","NaN","$140.89","$250.90","$648.10","$1093.04"
"86695","NaN","NaN","NaN","$140.89","$309.81","$685.70","$1093.04"
"86695","NaN","NaN","NaN","$140.89","$309.81","$685.70","$1093.04"
"86695","NaN","NaN","NaN","$140.89","$309.81","$685.70","$1093.04"
"87851","NaN","NaN","NaN","$140.89","$309.81","$685.70","$1093.04"
"87920","NaN","NaN","NaN","$140.89","$309.81","$685.70","$1093.04"
"88013","NaN","NaN","NaN","$140.89","$392.61","$748.85","$1093.04"
"88013","NaN","NaN","NaN","$140.89","$392.61","$748.85","$1093.04"
"88014","NaN","NaN","NaN","$140.89","$392.61","$748.85","$1093.04"
"88576","NaN","NaN","NaN","$176.62","$392.61","$748.85","$1381.97"
"88577","NaN","NaN","NaN","$176.62","$392.61","$748.85","$1381.97"
"88577","NaN","NaN","NaN","$176.62","$392.61","$748.85","$1381.97"
"89246","NaN","NaN","NaN","$176.62","$392.61","$748.85","$1381.97"
"89324","NaN","NaN","NaN","$176.62","$428.52","$944.89","$1381.97"
"89325","NaN","NaN","NaN","$176.62","$428.52","$944.89","$1381.97"
"89325","NaN","NaN","NaN","$176.62","$428.52","$944.89","$1381.97"
"90553","NaN","NaN","NaN","$176.62","$428.52","$944.89","$1381.97"
"90614","NaN","NaN","NaN","$176.62","$428.52","$944.89","$1381.97"
"90632","NaN","NaN","NaN","$176.62","$666.57","$980.98","$1381.97"
"90633","NaN","NaN","NaN","$176.62","$666.57","$980.98","$1381.97"
"90633","NaN","NaN","NaN","$176.62","$666.57","$980.98","$1381.97"
"91627","NaN","NaN","NaN","$223.90","$666.57","$980.98","$1747.86"
"91631","NaN","NaN","NaN","$223.90","$666.57","$980.98","$1747.86"
"91628","NaN","NaN","NaN","$223.90","$666.57","$980.98","$1747.86"
"91854","NaN","NaN","NaN","$223.90","$666.57","$980.98","$1984.36"
"91943","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"91943","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"93057","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"93160","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"93164","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"94193","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"94196","NaN","NaN","NaN","$223.90","$666.57","$1464.74","$1984.36"
"94686","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$1984.36"
"94687","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$1984.36"
"94687","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$1984.36"
"94965","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$2640.86"
"94965","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$2640.86"
"95730","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$2640.86"
"95730","NaN","NaN","NaN","$254.86","$913.84","$1464.74","$2640.86"
"96224","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$2640.86"
"96224","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$2640.86"
"96500","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$2640.86"
"96500","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$2640.86"
"97343","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$9225.76"
"97515","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$9225.76"
"97515","NaN","NaN","NaN","$254.86","$913.84","$3808.52","$9225.76"
"97744","NaN","NaN","NaN","$254.86","$2636.67","$3808.52","$9225.76"
"97747","NaN","NaN","NaN","$257.28","$2636.67","$3808.52","$9225.76"
"97745","NaN","NaN","NaN","$257.28","$2636.67","$3808.52","$9225.76"
"99040","NaN","NaN","NaN","$257.28","$2636.67","$3808.52","$9225.76"
"99041","NaN","NaN","NaN","$257.28","$2636.67","$3808.52","$9225.76"
"99589","NaN","NaN","NaN","$257.28","$2636.67","$9287.89","$9225.76"
"99589","NaN","NaN","NaN","$257.28","$2636.67","$9287.89","$9225.76"
"99789","NaN","NaN","NaN","$257.28","$2643.86","$9287.89","$9225.76"
"99794","NaN","NaN","NaN","$339.40","$2643.86","$9287.89","$9225.76"
"99790","NaN","NaN","NaN","$339.40","$2643.86","$9287.89","$9225.76"
"100838","NaN","NaN","NaN","$339.40","$2643.86","$9287.89","$23294.77"
