"Time","MEDICINE","WINE","FERTILIZER","IRON","PIG_IRON","STEEL","TOOLS"
"57242","10","10","10","0","30","0","0"
"57249","10","10","10","0","30","0","0"
"57790","10","10","10","0","20","10","0"
"57791","10","10","10","0","20","10","0"
"58219","10","10","10","0","20","0","10"
"58222","10","10","10","0","20","0","10"
"58776","10","10","10","0","30","0","10"
"59310","10","10","10","0","20","10","10"
"59313","10","10","10","0","20","10","10"
"59812","10","10","10","7","20","10","10"
"59815","10","10","10","0","20","10","10"
"59818","10","10","10","0","20","10","10"
"59967","10","10","10","0","20","0","9"
"59971","10","10","10","0","20","0","9"
"60839","10","10","10","0","10","10","3"
"60841","10","10","10","0","10","10","3"
"61720","10","10","10","0","10","0","13"
"61723","10","10","10","0","10","0","13"
"61851","10","10","10","0","20","0","13"
"62363","10","10","10","0","10","10","13"
"62366","10","10","10","0","10","10","13"
"62863","10","10","10","0","10","10","13"
"62867","10","10","10","0","10","10","13"
"62871","10","10","10","0","10","10","13"
"63482","10","10","10","0","10","0","9"
"63484","10","10","10","0","10","0","6"
"63899","10","10","10","0","0","10","6"
"63900","10","10","10","0","0","10","6"
"64391","10","10","10","10","0","10","6"
"64393","10","10","10","10","0","10","6"
"65228","10","10","10","10","0","10","16"
"65232","10","10","10","10","0","0","16"
"65410","10","10","10","20","0","0","16"
"65410","10","10","10","20","0","0","16"
"65425","10","10","10","20","0","10","16"
"65927","10","10","10","10","0","10","16"
"65930","10","10","10","10","0","10","16"
"65935","10","10","10","10","0","10","16"
"66178","10","10","10","20","0","10","16"
"66182","10","10","10","20","0","10","16"
"66763","10","10","10","20","0","0","7"
"66764","10","10","10","20","0","0","7"
"66946","10","10","10","30","0","0","7"
"66951","10","10","10","30","0","0","7"
"67712","10","10","10","40","0","0","7"
"67716","10","10","10","40","0","0","7"
"67765","10","10","10","40","0","10","7"
"68290","10","10","10","40","0","10","17"
"68294","10","10","10","40","0","0","17"
"68731","10","10","10","50","0","0","17"
"68735","10","10","10","50","0","0","17"
"68992","10","10","10","40","0","0","17"
"68992","10","10","10","40","0","0","17"
"68993","10","10","10","40","0","0","17"
"69652","10","10","10","40","0","0","27"
"70266","10","10","10","50","0","0","9"
"70267","10","10","10","50","0","0","9"
"71283","10","10","10","50","0","0","9"
"71286","10","10","10","50","0","0","9"
"72041","10","10","10","50","0","0","9"
"72045","10","10","10","40","0","0","9"
"72049","10","10","10","40","0","0","9"
"72647","10","10","10","40","0","0","19"
"73305","10","10","10","50","0","0","3"
"73316","10","10","10","50","0","0","3"
"74077","10","10","10","50","10","0","3"
"74081","10","10","10","40","10","0","3"
"75095","10","10","10","40","10","0","3"
"75105","10","10","10","40","0","0","3"
"75110","10","10","10","40","0","0","3"
"75603","10","10","10","30","10","0","3"
"75605","10","10","10","30","10","0","3"
"76352","10","10","10","40","10","0","0"
"76355","10","10","10","40","10","0","0"
"76631","10","10","10","40","10","0","0"
"77125","10","10","10","30","20","0","0"
"77125","10","10","10","30","20","0","0"
"77404","10","10","10","30","20","0","0"
"77407","10","10","10","30","10","0","0"
"77408","10","10","10","30","10","0","0"
"78651","10","10","10","20","20","0","0"
"78655","10","10","10","20","20","0","0"
"79156","10","10","10","20","20","0","9"
"79240","10","10","10","20","20","0","4"
"79244","10","10","10","20","10","0","4"
"79248","10","10","10","20","10","0","4"
"79405","10","10","10","30","10","0","4"
