"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"40970","$149.94","$247.80","$300.02","$281.29"
"41476","$149.94","$247.80","$300.02","$281.29"
"41477","$149.94","$247.80","$300.02","$281.29"
"41732","$149.94","$247.80","$300.02","$281.29"
"42497","$149.94","$247.80","$360.90","$220.40"
"42505","$149.94","$247.80","$360.90","$220.40"
"42948","$159.49","$272.13","$327.02","$220.40"
"42949","$159.49","$272.13","$327.02","$220.40"
"42949","$159.49","$272.13","$327.02","$220.40"
"43861","$159.49","$272.13","$403.14","$315.33"
"43862","$159.49","$272.13","$403.14","$315.33"
"44528","$159.49","$272.13","$403.14","$315.33"
"44529","$159.49","$272.13","$403.14","$315.33"
"45218","$159.49","$272.13","$403.14","$315.33"
"45238","$159.49","$272.13","$503.60","$214.88"
"45239","$159.49","$272.13","$503.60","$214.88"
"46005","$159.49","$310.46","$465.27","$214.88"
"46011","$169.94","$300.01","$465.27","$214.88"
"46005","$169.94","$300.01","$465.27","$214.88"
"46607","$169.94","$300.01","$465.27","$401.42"
"47594","$169.94","$300.01","$465.27","$401.42"
"47594","$169.94","$300.01","$465.27","$401.42"
"48039","$169.94","$300.01","$465.27","$401.42"
"48043","$180.89","$289.05","$465.27","$401.42"
"49061","$180.89","$330.80","$521.78","$303.17"
"49061","$180.89","$330.80","$521.78","$303.17"
"49061","$180.89","$330.80","$521.78","$303.17"
"49574","$193.08","$318.62","$521.78","$540.81"
"49574","$193.08","$318.62","$521.78","$540.81"
"50585","$193.08","$318.62","$521.78","$540.81"
"50635","$193.08","$318.62","$521.78","$540.81"
"50636","$193.08","$318.62","$521.78","$540.81"
"51103","$207.19","$304.50","$521.78","$540.81"
"51103","$207.19","$304.50","$521.78","$540.81"
"52106","$207.19","$359.39","$575.44","$432.27"
"52106","$207.19","$359.39","$575.44","$432.27"
"52108","$207.19","$359.39","$575.44","$432.27"
"52629","$222.70","$343.88","$575.44","$828.29"
"52630","$222.70","$343.88","$575.44","$828.29"
"53693","$222.70","$343.88","$575.44","$828.29"
"53702","$222.70","$343.88","$575.44","$828.29"
"53855","$222.70","$343.88","$575.44","$914.24"
"54167","$244.24","$322.34","$575.44","$914.24"
"54167","$244.24","$322.34","$575.44","$914.24"
"54399","$244.24","$322.34","$798.48","$691.20"
"54403","$244.24","$378.46","$742.36","$691.20"
"54400","$244.24","$378.46","$742.36","$691.20"
"55698","$286.43","$336.27","$742.36","$691.20"
"55703","$286.43","$336.27","$742.36","$691.20"
"56252","$286.43","$336.27","$742.36","$691.20"
"56257","$286.43","$435.33","$643.30","$691.20"
"56464","$286.43","$435.33","$869.09","$465.42"
"56467","$286.43","$435.33","$869.09","$465.42"
"56765","$286.43","$435.33","$869.09","$465.42"
"56765","$286.43","$435.33","$869.09","$465.42"
"57238","$341.71","$380.04","$869.09","$1325.94"
"57238","$341.71","$380.04","$869.09","$1325.94"
"57788","$341.71","$507.29","$741.85","$1325.94"
"57789","$341.71","$507.29","$741.85","$1325.94"
"58213","$341.71","$507.29","$1045.21","$1022.57"
"58218","$341.71","$507.29","$1045.21","$1022.57"
"58776","$341.71","$507.29","$1045.21","$1022.57"
"59308","$341.71","$640.44","$912.06","$1022.57"
"59309","$341.71","$640.44","$912.06","$1022.57"
"59811","$407.82","$574.33","$912.06","$1022.57"
"59812","$407.82","$574.33","$912.06","$1022.57"
"59812","$407.82","$574.33","$912.06","$1022.57"
"59966","$407.82","$574.33","$1243.47","$1251.16"
"59966","$407.82","$574.33","$1243.47","$1251.16"
"60838","$407.82","$751.88","$1065.92","$1597.17"
"60838","$407.82","$751.88","$1065.92","$1597.17"
"61719","$407.82","$751.88","$1428.08","$1235.02"
"61719","$407.82","$751.88","$1428.08","$1235.02"
"61850","$407.82","$751.88","$1428.08","$1235.02"
"62361","$407.82","$943.45","$1236.51","$1235.02"
"62361","$407.82","$943.45","$1236.51","$1235.02"
"62859","$481.62","$869.64","$1236.51","$1235.02"
"62866","$481.62","$869.64","$1236.51","$1235.02"
"62862","$481.62","$869.64","$1236.51","$1235.02"
"63482","$481.62","$869.64","$1644.27","$1930.95"
"63477","$481.62","$869.64","$1644.27","$1930.95"
"63898","$481.62","$1162.35","$1351.57","$1930.95"
"63899","$481.62","$1162.35","$1351.57","$1930.95"
"64391","$481.62","$1162.35","$1351.57","$1930.95"
"64392","$481.62","$1162.35","$1351.57","$1930.95"
"65226","$481.62","$1162.35","$1351.57","$1930.95"
"65231","$481.62","$1162.35","$1829.15","$1453.36"
"65409","$481.62","$1162.35","$1829.15","$1453.36"
"65410","$481.62","$1162.35","$1829.15","$1453.36"
"65423","$481.62","$1162.35","$1829.15","$1453.36"
"65924","$573.05","$1392.66","$1507.41","$1453.36"
"65925","$573.05","$1392.66","$1507.41","$1453.36"
"65926","$573.05","$1392.66","$1507.41","$1453.36"
"66176","$573.05","$1392.66","$1507.41","$1453.36"
"66178","$573.05","$1392.66","$1507.41","$1453.36"
"66762","$573.05","$1392.66","$2088.86","$2276.25"
"66763","$573.05","$1392.66","$2088.86","$2276.25"
"66946","$573.05","$1392.66","$2088.86","$2276.25"
"66945","$573.05","$1392.66","$2088.86","$2276.25"
"67711","$573.05","$1392.66","$2088.86","$2276.25"
"67711","$573.05","$1392.66","$2088.86","$2276.25"
"67763","$573.05","$1392.66","$2088.86","$2276.25"
"68288","$573.05","$1392.66","$2088.86","$2276.25"
"68292","$573.05","$1392.66","$2873.85","$1491.26"
"68730","$573.05","$1392.66","$2873.85","$1491.26"
"68730","$573.05","$1392.66","$2873.85","$1491.26"
"68991","$664.51","$1598.59","$2543.41","$1491.26"
"68992","$664.51","$1598.59","$2543.41","$1491.26"
"68992","$664.51","$1598.59","$2543.41","$1491.26"
"69651","$664.51","$1598.59","$2543.41","$1491.26"
"70266","$664.51","$1598.59","$2543.41","$3334.20"
"70266","$664.51","$1598.59","$2543.41","$3334.20"
"71281","$664.51","$1598.59","$3653.57","$2224.04"
"71282","$664.51","$1598.59","$3653.57","$2224.04"
"72039","$664.51","$2025.23","$3226.93","$2224.04"
"72044","$756.36","$1933.38","$3226.93","$2224.04"
"72040","$756.36","$1933.38","$3226.93","$2224.04"
"72645","$756.36","$1933.38","$3226.93","$2224.04"
"73305","$756.36","$1933.38","$3226.93","$5225.81"
"73305","$756.36","$1933.38","$3226.93","$5225.81"
"74075","$756.36","$1933.38","$3226.93","$5225.81"
"74080","$873.19","$1816.55","$3226.93","$5225.81"
"75087","$873.19","$1816.55","$4934.61","$3518.14"
"75103","$873.19","$2585.71","$4165.44","$3518.14"
"75088","$873.19","$2585.71","$4165.44","$3518.14"
"75602","$990.14","$2468.77","$4165.44","$3518.14"
"75603","$990.14","$2468.77","$4165.44","$3518.14"
"76351","$990.14","$2468.77","$4165.44","$4306.39"
"76351","$990.14","$2468.77","$4165.44","$4306.39"
"76629","$990.14","$2468.77","$4165.44","$9615.82"
"77124","$1107.55","$2351.36","$4165.44","$9615.82"
"77125","$1107.55","$2351.36","$4165.44","$9615.82"
"77399","$1107.55","$3145.88","$6226.54","$6760.20"
"77403","$1107.55","$3145.88","$6226.54","$6760.20"
"77404","$1107.55","$3145.88","$6226.54","$6760.20"
"78650","$1274.10","$2979.33","$6226.54","$6760.20"
"78650","$1274.10","$2979.33","$6226.54","$6760.20"
"79155","$1274.10","$2979.33","$6226.54","$7454.18"
"79239","$1274.10","$2979.33","$9733.60","$7417.05"
"79243","$1274.10","$4459.72","$8253.21","$7417.05"
"79239","$1274.10","$4459.72","$8253.21","$7417.05"
"79397","$1274.10","$4459.72","$8253.21","$7417.05"
"79397","$1274.10","$4459.72","$8253.21","$7417.05"
"80180","$1609.47","$4124.35","$8253.21","$7417.05"
"80180","$1609.47","$4124.35","$8253.21","$7417.05"
"80774","$1609.47","$5607.91","$6769.65","$7417.05"
"80774","$1609.47","$5607.91","$6769.65","$7417.05"
"80780","$1609.47","$5607.91","$6769.65","$7417.05"
"80783","$1609.47","$5607.91","$11003.30","$3183.41"
"81725","$1945.61","$5271.76","$11003.30","$3183.41"
"81725","$1945.61","$5271.76","$11003.30","$3183.41"
"82173","$1945.61","$5271.76","$11003.30","$17604.66"
"82315","$1945.61","$7230.46","$13851.17","$14471.32"
"82316","$1945.61","$7230.46","$13851.17","$14471.32"
"82316","$1945.61","$7230.46","$13851.17","$14471.32"
"82463","$1945.61","$7230.46","$13851.17","$14471.32"
"82464","$1945.61","$7230.46","$13851.17","$14471.32"
"83259","$2833.44","$6342.63","$13851.17","$14471.32"
"83260","$2833.44","$6342.63","$13851.17","$14471.32"
"83545","$2833.44","$6342.63","$13851.17","$14471.32"
"83848","$2833.44","$8496.08","$16984.22","$9184.82"
"83848","$2833.44","$8496.08","$16984.22","$9184.82"
"83849","$2833.44","$8496.08","$16984.22","$9184.82"
"84800","$3910.76","$7418.75","$16984.22","$9184.82"
"84800","$3910.76","$7418.75","$16984.22","$9184.82"
"85077","$3910.76","$7418.75","$16984.22","$9184.82"
"85380","$3910.76","$9927.76","$20956.17","$23822.32"
"85381","$3910.76","$9927.76","$20956.17","$23822.32"
"85381","$3910.76","$9927.76","$20956.17","$23822.32"
"85533","$3910.76","$9927.76","$20956.17","$23822.32"
"85533","$3910.76","$9927.76","$20956.17","$23822.32"
"86322","$5319.67","$8518.85","$20956.17","$23822.32"
"86323","$5319.67","$8518.85","$20956.17","$23822.32"
"86605","$5319.67","$8518.85","$20956.17","$23822.32"
"86695","$5319.67","$11616.96","$24715.11","$16965.28"
"86695","$5319.67","$11616.96","$24715.11","$16965.28"
"86695","$5319.67","$11616.96","$24715.11","$16965.28"
"87851","$5319.67","$11616.96","$24715.11","$16965.28"
"87920","$5319.67","$11616.96","$24715.11","$16965.28"
"88013","$5319.67","$15543.02","$28277.52","$9476.81"
"88013","$5319.67","$15543.02","$28277.52","$9476.81"
"88014","$5319.67","$15543.02","$28277.52","$9476.81"
"88576","$7085.91","$13776.77","$28277.52","$38714.78"
"88577","$7085.91","$13776.77","$28277.52","$38714.78"
"88577","$7085.91","$13776.77","$28277.52","$38714.78"
"89246","$7085.91","$13776.77","$28277.52","$38714.78"
"89324","$7085.91","$18062.01","$33441.23","$29265.84"
"89325","$7085.91","$18062.01","$33441.23","$29265.84"
"89325","$7085.91","$18062.01","$33441.23","$29265.84"
"90553","$7085.91","$18062.01","$33441.23","$29265.84"
"90614","$7085.91","$18062.01","$33441.23","$29265.84"
"90632","$7085.91","$24727.73","$36585.34","$19456.01"
"90633","$7085.91","$24727.73","$36585.34","$19456.01"
"90633","$7085.91","$24727.73","$36585.34","$19456.01"
"91627","$9324.92","$22488.73","$36585.34","$52488.13"
"91631","$9324.92","$22488.73","$36585.34","$52488.13"
"91628","$9324.92","$22488.73","$36585.34","$52488.13"
